,text,text1,text2,tag,tag1,tag2,score1,score2,num_text,num_text1,num_text2,sensitivity(0.6),sensitivity(0.6)(True Tag),sensitivity(0.6)(#text each Tag),precision(0.6),precision(0.6)(True Tag),precision(0.6)(above cutoff),sensitivity(0.7),sensitivity(0.7)(True Tag),sensitivity(0.7)(#text each Tag),precision(0.7),precision(0.7)(True Tag),precision(0.7)(above cutoff),sensitivity(0.8),sensitivity(0.8)(True Tag),sensitivity(0.8)(#text each Tag),precision(0.8),precision(0.8)(True Tag),precision(0.8)(above cutoff)
0,바다가 일자리다…'2021 해양수산 온라인 취업박람회' 30일 개막,"콘진원, '국제방송영상마켓 2021' 내달 6∼10일 온라인 개최","콘진원, ‘국제방송영상마켓 2021’ 9월 6일 온라인 개최",1,75,75,0.5159000158309937,0.5798980594571341,1717,686,687,0.0,0,9,0.0,0,0,0.0,0,9,0.0,0,0,0.0,0,9,0.0,0,0
1,"일자리박람회 오프라인 면접, 다음 달 시작",'강원 일자리박람회' 9월 2일 개막…취업 희망자 오프라인 면접,"심뇌혈관질환 주간…""내 혈관 숫자 알기, 건강 관리의 시작""",1,1,178,0.6886000037193298,1.0,1717,6,1643,22.22,2,9,100.0,2,2,0.0,0,9,0.0,0,0,0.0,0,9,0.0,0,0
2,경북 온·오프라인 채용박람회 개최,"‘경북 채용박람회’ 개최, 대면·비대면 병행 진행","‘경북 채용박람회’ 개최, 대면·비대면 병행 진행",1,1,1,0.6949999928474426,1.0,1717,5,5,22.22,2,9,100.0,2,2,0.0,0,9,0.0,0,0,0.0,0,9,0.0,0,0
3,강원일자리박람회 내달 2일 대면 면접 돌입,'강원 일자리박람회' 9월 2일 개막…취업 희망자 오프라인 면접,"전북경찰 ""내달 30일까지 불법무기 자진 신고 시 책임 면제""",1,1,19,0.6862000226974487,1.0,1717,6,154,22.22,2,9,100.0,2,2,0.0,0,9,0.0,0,0,0.0,0,9,0.0,0,0
4,"안양시, 온·오프라인 연계 릴레이 일자리박람회",경북 온·오프라인 채용박람회 개최,바다가 일자리다…'2021 해양수산 온라인 취업박람회' 30일 개막,1,1,1,0.6811000108718872,0.0,1717,2,0,22.22,2,9,100.0,2,2,0.0,0,9,0.0,0,0,0.0,0,9,0.0,0,0
5,"‘경북 채용박람회’ 개최, 대면·비대면 병행 진행",경북 온·오프라인 채용박람회 개최,경북 온·오프라인 채용박람회 개최,1,1,1,0.6949999928474426,1.0,1717,2,2,11.11,1,9,100.0,1,1,0.0,0,9,0.0,0,0,0.0,0,9,0.0,0,0
6,'강원 일자리박람회' 9월 2일 개막…취업 희망자 오프라인 면접,"일자리박람회 오프라인 면접, 다음 달 시작",현진건·모파상…양손프로젝트 단편선 레파토리展 9월 개막,1,1,114,0.6886000037193298,1.0,1717,1,1032,33.33,3,9,100.0,3,3,0.0,0,9,0.0,0,0,0.0,0,9,0.0,0,0
7,"안양시, 내달 8일 일자리 박람회 열어...""올해 5500명 취업""","안양시, 오는 9월 8일부터 '릴레이 일자리박람회' 개최",강원일자리박람회 내달 2일 대면 면접 돌입,1,1,1,0.6448000073432922,0.7446561468958044,1717,8,3,11.11,1,9,100.0,1,1,0.0,0,9,0.0,0,0,0.0,0,9,0.0,0,0
8,"안양시, 오는 9월 8일부터 '릴레이 일자리박람회' 개최","안양시, 내달 8일 일자리 박람회 열어...""올해 5500명 취업""","세미나허브, 9월 28~29일 청정수소·액화수소 플랜트 구축 세미나 개최",1,1,90,0.6448000073432922,0.7422496648896103,1717,7,800,33.33,3,9,100.0,3,3,0.0,0,9,0.0,0,0,0.0,0,9,0.0,0,0
9,"전자발찌 살인범, 15년 전엔 여성 30여명 무차별 강도·성범죄",‘전자발찌 훼손 살인범’ 16년 전에도 출소 넉달 만에 30여차례 강도,‘전자발찌 훼손 살인범’ 16년전에도 가출소 4개월만에 범죄행각,2,2,2,0.7182999849319458,0.5430235443426275,1717,18,10,54.55,6,11,28.57,6,21,18.18,2,11,66.67,2,3,0.0,0,11,0.0,0,0
